Total series: 836
Total episodes: 3971

All series (count | name):
    10 | 서해 갯벌
    10 | 고성
    10 | 한려수도
    10 | 7번국도
    10 | 조도군도
    10 | 흑산군도를 가다
    10 | 섬마을 밥집
    10 | 4000회 특집 눈부시게 아름다운
     8 | 한강,
     8 | 백두대간,
     5 | 봉화,
     5 | 장항선,
     5 | 화천,
     5 | 안성,
     5 | 속초,
     5 | 문경,
     5 | 옥천,
     5 | 인제,
     5 | 목포,
     5 | 예천,
     5 | 보령,
     5 | 김제,
     5 | 강릉,
     5 | 지리산,
     5 | 거창,
     5 | 충주,
     5 | 고흥,
     5 | 장수,
     5 | 청양,
     5 | 울진,
     5 | 고군산군도,
     5 | 영암,
     5 | 추자군도,
     5 | 순창,
     5 | 청도,
     5 | 영주,
     5 | 밀양,
     5 | 천안,
     5 | 서울,
     5 | 포항,
     5 | 횡성,
     5 | 양양,
     5 | 논산,
     5 | 서산,
     5 | 진주,
     5 | 대구,
     5 | 완도,
     5 | 영덕,
     5 | 광주,
     5 | 서천,
     5 | 광양,
     5 | 울산,
     5 | 장성,
     5 | 봄(春),
     5 | 영광,
     5 | 제천,
     5 | 동강,
     5 | 사천,
     5 | 곡성,
     5 | 포천,
     5 | 구례,
     5 | 당진,
     5 | 함양,
     5 | 화성
     5 | 홍천
     5 | 원주
     5 | 동해
     5 | 성주
     5 | 진천
     5 | 창원,
     5 | 가평,
     5 | 제주할망,
     5 | 진안고원,
     5 | 통영,
     5 | 경전선,
     5 | 청원,
     5 | 부여,
     5 | 영동선,
     5 | 변산반도,
     5 | 영양,
     5 | 꽃 마실길,
     5 | 신안
     5 | 양산
     5 | 관동팔경
     5 | 금산
     5 | 함안
     5 | 여름 울릉도
     5 | 아리랑
     5 | 거문도
     5 | 예산
     5 | 충주호
     5 | 파주
     5 | 양평
     5 | 영천
     5 | 흑산군도
     5 | 금강
     5 | 가을 섬진강
     5 | 장흥
     5 | 울주
     5 | 가을 설악
     5 | 월출산
     5 | 안동
     5 | 양구
     5 | 해남
     5 | 팔당호
     5 | 옹진 겨울 섬
     5 | 기장
     5 | 고흥반도
     5 | 겨울 한라
